QW-ACT-R1	2779a5	HTML Page has a title
QW-ACT-R2	b5c3f8	HTML has lang attribute
QW-ACT-R3	5b7ae0	HTML lang and xml:lang match
QW-ACT-R4	bc659a	Meta-refresh no delay
QW-ACT-R5	bf051a	Validity of HTML Lang attribute
QW-ACT-R6	59796f	Image button has accessible name
QW-ACT-R7	b33eff	Orientation of the page is not restricted using CSS transform property
QW-ACT-R9	b20e66	Links with identical accessible names have equivalent purpose
QW-ACT-R10	4b1c6c	iframe elements with identical accessible names have equivalent purpose
QW-ACT-R11	97a4e1	Button has accessible name
QW-ACT-R12	c487ae	Link has accessible name
QW-ACT-R13	6cfa84	Element with aria-hidden has no focusable content
QW-ACT-R14	b4f0c3	meta viewport does not prevent zoom
QW-ACT-R15	80f0bf	audio or video has no audio that plays automatically
QW-ACT-R16	e086e5	Form control has accessible name
QW-ACT-R17	23a2a8	Image has accessible name
QW-ACT-R18	3ea0c8	id attribute value is unique
QW-ACT-R19	cae760	iframe element has accessible name
QW-ACT-R20	674b10	role attribute has valid value
QW-ACT-R21	7d6734	svg element with explicit role has accessible name
QW-ACT-R22	de46e4	Element within body has valid lang attribute
QW-ACT-R23	c5a4ea	video element visual content has accessible alternative
QW-ACT-R24	73f2c2	autocomplete attribute has valid value
QW-ACT-R25	5c01ea	ARIA state or property is permitted
QW-ACT-R26	eac66b	video element auditory content has accessible alternative
QW-ACT-R27	5f99a7	This rule checks that each aria- attribute specified is defined in ARIA 1.1.
QW-ACT-R28	4e8ab6	Element with role attribute has required states and properties
QW-ACT-R29	e7aa44	Audio element content has text alternative
QW-ACT-R30	2ee8b8	Visible label is part of accessible name
QW-ACT-R31	c3232f	Video element visual-only content has accessible alternative
QW-ACT-R32	1ec09b	video element visual content has strict accessible alternative
QW-ACT-R33	ff89c9	ARIA required context role
QW-ACT-R34	6a7281	ARIA state or property has valid value
QW-ACT-R35	ffd0e9	Heading has accessible name
QW-ACT-R36	a25f45	Headers attribute specified on a cell refers to cells in the same table element
QW-ACT-R37	afw4f7	Text has minimum contrast
QW-ACT-R38	bc4a75	ARIA required owned elements
QW-ACT-R39	d0f69e	All table header cells have assigned data cells
